E1	E2	Probability	Label
155459	60489	7.57506436089e-06	0
202559	155908	1.362275e-12	0
302	155030	8.20967527959e-07	0
3107	156110	1.93421456141e-05	0
3458	156110	7.94981e-09	0
155030	4261	6.802936e-06	0
4594	156110	7.060279e-08	0
4734	155030	2.051514e-08	0
3576	155971	3.8108539e-07	0
155908	1653	4.14642883362e-08	0
155030	5594	1.69079007462e-08	0
155971	3576	3.0368065e-07	0
155459	6921	2.96015889578e-09	0
155971	1272	2.0888652e-07	0
155908	7514	1.36008928675e-07	0
1673	155871	8.08489719617e-10	0
155971	26996	1.5063156e-10	0
156110	356	7.40595505833e-06	0
155459	8065	2.52711659599e-07	0
3958	155871	2.18352943504e-07	0
6714	156110	6.224522e-08	0
156110	3458	7.94981e-09	0
100187828	155871	3.1041447e-11	0
155945	684	9.07022643992e-07	0
155030	51014	6.727393e-10	0
156110	1493	0.00016172026883	0
10462	155030	2.61559788273e-08	0
3836	155807	1.07253539383e-09	0
1508	155030	1.22160554339e-07	0
10959	155030	9.99973304161e-07	0
684	155971	1.0731747e-08	0
917	156110	3.0530323e-10	0
3661	155945	1.00486774457e-09	0
155971	6347	7.75561862801e-05	0
155030	4314	3.0905917e-07	0
156110	6347	1.9145197e-09	0
19	155971	7.354479e-08	0
155971	115362	0.000566548681734	0
7852	156110	1.08428444001e-09	0
155971	6351	2.2394663e-06	0
6998	155971	3.0616324e-05	0
155030	100862696	2.19929652268e-09	0
2028	155908	1.1318558e-09	0
155807	4790	9.12660288455e-08	0
347376	155030	4.56758146172e-06	0
3502	155971	0.000499716330878	0
60489	155459	0.000126944860153	0
100616444	155030	1.42019730831e-06	0
155030	10015	1.53046035067e-07	0
54106	155971	2.8307628e-08	0
155030	148362	4.2300923e-09	0
156110	7124	1.76845982303e-10	0
100689229	155030	9.00782218816e-08	0
155030	100689229	9.04906658494e-08	0
155030	27074	2.5574843e-11	0
155030	10521	2.4656266e-09	0
155030	100616444	1.50425575662e-07	0
1387	155971	1.2462424e-07	0
155945	5817	1.32308874523e-07	0
6285	155908	6.186992767e-07	0
155971	801	0.000235462865254	0
310	155030	1.1259217e-09	0
1493	156110	0.000153819391931	0
155971	28910	2.0983122e-10	0
155971	3586	9.44312879884e-05	0
6596	155807	2.54761902685e-08	0
155971	4153	1.1069642e-08	0
3732	155030	2.6107544e-10	0
155971	974	5.3578166e-11	0
861	155459	1.7632317828e-10	0
156110	238	1.2250189e-13	0
1421	155030	4.5350532e-07	0
156110	3106	1.90532473943e-06	0
155971	3502	0.000106825287321	0
156110	5599	1.5544609e-06	0
79966	155971	8.3630874e-10	0
155971	6387	5.32140553844e-10	0
155807	3916	8.379708e-10	0
653820	155807	1.01629585e-05	0
156110	256987	9.89438356913e-07	0
821	155971	2.73010778273e-06	0
155971	4780	0.000526267851242	0
155030	684	9.0010105e-10	0
155030	1629	1.64264941649e-07	0
155030	3565	5.44294635108e-06	0
8835	155459	1.1342509e-06	0
155348	8941	6.504575e-10	0
155807	5886	4.85646745041e-10	0
1109	155971	1.516027e-09	0
5621	155971	1.2462366e-09	0
1669	155971	0.000362752990946	0
155971	51497	0.000528407897943	0
155971	10226	0.000631384889264	0
2720	155971	2.4094062e-09	0
19	156110	1.0221954e-09	0
5594	155030	3.61697527484e-09	0
6402	155030	9.286082e-09	0
155807	3725	5.55368062649e-09	0
728378	155030	0.000146112901376	0
155971	834	7.697511e-08	0
156110	684	2.79745323573e-08	0
347376	155807	1.16417986e-07	0
27067	155908	5.47024214814e-09	0
865	155459	1.69674705464e-06	0
155971	2745	6.33273575912e-07	0
3558	155971	1.3512581e-09	0
155807	836	2.2435231e-09	0
22914	155945	4.65346407065e-05	0
156110	925	1.14323399303e-07	0
256987	156110	1.11893525889e-06	0
920	155971	0.000388405848671	0
155459	865	1.83651113383e-06	0
347376	155971	0.000222607982507	0
155971	28299	8.0853222744e-05	0
155971	2187	9.93578117559e-08	0
10714	155348	1.1475741e-10	0
155030	3735	2.18609851221e-07	0
156110	7253	6.18471940328e-11	0
156110	60489	0.000117079828766	0
5478	155030	1.90691555513e-06	0
973	155971	3.9907587e-08	0
155971	30816	3.68305587543e-05	0
6737	155030	1.3395417e-12	0
5478	156110	0.000151214957274	0
156110	5817	4.91400653502e-09	0
3178	155971	8.1190846e-11	0
1029	155030	1.94149585298e-09	0
155971	4843	5.029765e-08	0
925	155459	1.5766417e-12	0
155971	5122	1.82442379304e-06	0
155971	51311	2.6296616e-09	0
54205	155807	1.4047236e-10	0
6772	155971	3.6933415e-08	0
653820	155971	1.98874068802e-06	0
155971	19	1.0256411e-08	0
148362	155030	5.9148403e-10	0
155971	10959	6.75433535768e-08	0
155971	10410	6.6957796e-08	0
25939	155807	0.000129852607205	0
7020	155971	8.13692757617e-09	0
155030	6737	9.744416e-13	0
4869	155908	1.95249372226e-11	0
5713	155807	1.9943416e-10	0
156110	4594	1.9664713e-08	0
3777	155945	3.57063711931e-09	0
155908	653108	3.43073052456e-06	0
155971	4790	3.0371257e-09	0
